id_2019,name_2019,id_2020,normalized_team_name
1,Arsenal,1,Arsenal
2,Aston Villa,2,Aston Villa
3,Bournemouth,0,Bournemouth
4,Brighton,3,Brighton
5,Burnley,4,Burnley
6,Chelsea,5,Chelsea
7,Crystal Palace,6,Crystal Palace
8,Everton,7,Everton
0,Fulham,8,Fulham
9,Leicester,9,Leicester
0,Leeds,10,Leeds
10,Liverpool,11,Liverpool
11,Man City,12,Manchester City
12,Man Utd,13,Manchester United
13,Newcastle,14,Newcastle United
14,Norwich,0,Norwich
15,Sheffield Utd,15,Sheffield United
16,Southampton,16,Southampton
17,Spurs,17,Tottenham
18,Watford,0,Watford
0,West Brom,18,West Bromwich Albion
19,West Ham,19,West Ham
20,Wolves,20,Wolverhampton Wanderers
21,Brentford,21,Brentford
